Word,F1,F2,
Bat,705,1388,
Bet,579,1627,
Beet,265,2071,
Bit,431,1863,
Bought,683,877,
Boot,250,849,
Bat,764,1248,
Bet,587,1590,
Beet,255,2126,
Bit,427,1829,
Bought,581,910,
Bat,738,1349,
Bet,582,1618,
Beet,271,2079,
Bit,438,1829,
Bought,598,957,
Boot,260,959,
Bat,712,1558,
Bet,590,1593,
Beet,247,2064,
Bit,418,1718,
Boot,339,987,
Bat,673,1600,
Bet,594,1554,
Beet,268,2007,
Bit,449,1708,
Bought,609,947,
Boot,355,1125,
Bat,692,1580,
Bet,572,1604,
Beet,261,2065,
Bit,456,1693,
Bought,586,950,
Boot,322,1055,
Bat,701,1552,
Bet,598,1596,
Beet,261,2054,
Bit,477,1698,
Bought,605,986,
Boot,332,1157,
Bat,685,1501,
Bet,571,1624,
Beet,253,2325,
Bit,414,1878,
Bought,663,1071,
Boot,313,1304,
Bat,723,1572,
Bet,624,1695,
Beet,264,2342,
Bit,383,1784,
Boot,292,1271,
Bat,752,1605,
Bet,593,1661,
Beet,247,2311,
Bit,435,1808,
Bought,637,1061,
Boot,323,1373,
Bat,761,1558,
Bet,598,1616,
Beet,291,2201,
Bit,441,1833,
Bought,669,1127,
Boot,328,1339,
Bat,823,1463,
Bet,699,1661,
Beet,235,2460,
Bit,443,1939,
Bought,705,1069,
Boot,347,1277,
Bat,824,1570,
Bet,677,1663,
Beet,229,2434,
Bit,466,2014,
Bought,702,1126,
Boot,336,1415,
Bat,774,1514,
Bet,648,1711,
Beet,227,2469,
Bit,450,1974,
Bought,698,1089,
Boot,352,1235,
Bat,879,1813,
Bet,658,1708,
Beet,244,2436,
Bit,530,2112,
Bought,727,1091,
Boot,365,1590,
Bat,973,1659,
Bet,689,1913,
Beet,294,2573,
Bit,430,2140,
Bought,816,1199,
Boot,341,1473,
Bat,923,1576,
Bet,721,1929,
Beet,285,2358,
Bit,514,2046,
Bought,806,1153,
Boot,359,1473,
Bat,859,1655,
Bet,677,1815,
Beet,391,2942,
Bit,473,2113,
Bought,653,1107,
Boot,415,1510,
Bat,954,1620,
Bet,757,1871,
Beet,414,2976,
Bit,589,2080,
Bought,640,1058,
Boot,403,1450,
Bat,916,1593,
Bet,747,1937,
Beet,404,2954,
Bit,555,2239,
Bought,683,1141,
Boot,416,1575,
